route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-FKN-F-mjp-1","T0","57.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","81.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","92.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","125.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","167.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","176.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","179.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","181.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","183.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","186.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9936.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9940.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9971.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9994.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","143.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","191.T0.2-FKN-F-mjp-1.19.R","2-FKN-F-mjp-1.19.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","209.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9876.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9879.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9882.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9885.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","5.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","13.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","17.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","21.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","33.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","37.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","41.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","45.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","49.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","53.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
